nama_rumah_sakit,jenis_rumah_sakit,alamat,kelurahan,kecamatan,kabupaten_kota,kode_pos,nomor_telepon,nomor_fax,alamat_email,alamat_website,jumlah_tempat_tidur_kelas_vvip,jumlah_tempat_tidur_kelas_vip,jumlah_tempat_tidur_kelas_eksekutif,jumlah_tempat_tidur_kelas_kelas_1,jumlah_tempat_tidur_kelas_kelas_2,jumlah_tempat_tidur_kelas_kelas_3,jumlah_tempat_tidur_kelas_perinatal,jumlah_tempat_tidur_ruang_icu,jumlah_tempat_tidur_ruang_picu,jumlah_tempat_tidur_ruang_nicu,jumlah_tempat_tidur_ruang_hcu,jumlah_tempat_tidur_ruang_iccu,jumlah_tempat_tidur_ruang_igd,jumlah_tempat_tidur_ruang_isolasi,jumlah_tempat_tidur_ruang_1_day_care,jumlah_tempat_tidur_ruang_operasi,jumlah_tempat_tidur_kamar_bersalin,jumlah_tempat_tidur_kelas_hemodialisa,jumlah_tempat_tidur_ruang_anak,jumlah_tempat_tidur_non_kelas,jumlah_tempat_tidur_lain_lain,total_tempat_tidur
Medistra,Rumah Sakit Umum,Jl. Jenderal Gatot Subroto Kav. 59,Kuningan Timur,Setiabudi,Jakarta Selatan,12950,(021) 5210200,(021) 5210184,customercare@medistra.com,,,,,,,,,,,,,,,,,,,,,,,0
Agung,Rumah Sakit Umum,Jalan  Sultan Agung  Nomor 67,Pasar Manggis,Setiabudi,Jakarta Selatan,12970,(021) 18295971-18294955,(021) 8305791,jakarta.rsa@gmail.com,,2,3,5,16,9,23,  ,2,  ,  ,  ,  ,3,2,  ,2,2,  ,8,  ,  ,77
RUMAH SAKIT KHUSUS SWASTA,  JAKARTA SELATAN,,,,,,,,,,,32,130,15,94,102,167,84,10,2,11,16,    ,45,14,18,20,18,7,12,16,813
Brawijaya,Rumah Sakit Khusus Ibu dan Anak,Jl. Taman Brawijaya No. 1,Cipete Utara,Kebayoran Baru,Jakarta Selatan,12140,(021) 7211337,(021) 7211364,dwita.rakhmasari@brawijayahospital.com ,,,,,,,,,,,,,,,,,,,,,,,0
Asih,Rumah Sakit Khusus Ibu dan Anak,Jalan  Panglima Polim I  Nomor 34,Melawai ,Kebayoran Baru,Jakarta Selatan,12160,(021) 2700610,(021) 7254054,rsia.asih@gmail.com,www.raiaasih.co.id,2,8,,6,3,4,10,1,  ,1,4,  ,3,2,4,1,2,  ,3,  ,  ,54
Dharmawangsa ,Rumah Sakit Khusus Jiwa,Jl. Dharmawangsa Raya No. 13  Blok P II,Pulo,Kebayoran Baru,Jakarta Selatan,12160,(021) 7394484,(021) 7394162,sanatorium@dharmawangsa.org,www.dharmawangsa.org,5,6,8,2,8,15,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  ,  ,  ,  ,  ,45
Ciranjang,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jalan  Ciranjang  Nomor 20-22,Rawa Barat,Kebayoran Baru,Jakarta Selatan,12180,(021) 7243366 / 7208192,(021) 7264038 - 7398837,tht_ciranjang@yahoo.com,rsciranjang.com,2,4,,4,4,6,  ,  ,  ,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,22
Panti Nugraha,Rumah Sakit Khusus Ibu dan Anak,Jalan  Senayan  Nomor 26,Rawa Barat,Kebayoran Baru,Jakarta Selatan,12180,(021) 7221171-7223939,(021) 7221171-7223939,rumahsakit.pantinugroho@gmail.com,,,3,,12,18,30,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,  ,,12,,75
Avisena,Rumah Sakit Khusus Ibu dan Anak,Jalan  H. Rohimin  Nomor 30,Ulujami,Pesanggrahan,Jakarta Selatan,12250,(021) 5853916,(021) 5871802,avisena.rsia@gmail.com,,1,2,,4,4,12,14,  ,  ,  ,1,  ,3,2,  ,  ,4,  ,  ,  ,  ,47
FKG Universitas Prof. DR. Moestopo (B),Rumah Sakit Khusus Gigi & Mulut,Jalan  Bintaro Permai Raya  Nomor 3,Bintaro,Pesanggrahan,Jakarta Selatan,12330,(021) 73885251 / 73885254,(021) 73885251 / 73885253,fkg@moestopo.ac.id,,,,,,,,,,,,,,,,,,,,,,,0
Nusantara,Rumah Sakit Khusus Mata,Jalan  Kartini  Nomor 99  RT.004 / RW.01,Lebak Bulus,Cilandak,Jakarta Selatan,12440,(021) 7516688,(021) 75816588,kmn-jaksel@klinikmatanusantara.com,www.klinikmatanusantara.com,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
Kemang,Rumah Sakit Khusus Ibu dan Anak,Jalan  Ampera Raya  Nomor 34,Ragunan,Pasar Minggu,Jakarta Selatan,12550,(021) 27545454 / 27545400,(021) 78843548,hri.isw@gmail.com,www.kemangmedicalcare.com,5,10,7,4,8,8,4,1,  ,5,  ,  ,4,  ,  ,3,2,  ,,  ,4,65
Sofa Marwa  (Tidak Operasional),Rumah Sakit Khusus Ibu dan Anak,Jalan Bina Warga (MAN 7) RT.009/RW.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Duren Tiga,Rumah Sakit Khusus Ibu dan Anak,Jalan  Duren Tiga Raya  Nomor 5,Pancoran,Pancoran,Jakarta Selatan,12780,(021) 7993817 / 7948696 / 7976605,(021) 7901050,sekretariat@rsiadurentiga.com ,,,,,,,,,,,,,,,,,,,,,,,0
AINI Prof. DR. Isak Salim,Rumah Sakit Khusus Mata,Jl.Rumah Sakit Mata AINI HR.Rasuna Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MRCCC Siloam Semanggi,Rumah Sakit Khusus Kanker,Jl. Garnisun Kav. 2 - 3,Karet Semanggi,Setiabudi,Jakarta Selatan,12930,(021) 29962888,(021) 29962778,customer.caremrccc@siloamhospitals.com,www.siloamhospitals.com,7,45,,37,31,36,3,7,  ,1,4,  ,15,5,11,3,2,7,  ,4,  ,218
Budhi Jaya,Rumah Sakit Khusus Ibu dan Anak,Jl. Dr. Saharjo No. 120,Menteng Atas,Setiabudi,Jakarta Selatan,12960,(021) 8311722-8312378,(021) 8301901,rsia@budhijaya.co.id,,,11,,6,9,11,5,  ,  ,  ,1,  ,5,1,  ,2,3,  ,3,  ,  ,57
Halimun,Rumah Sakit Khusus Bedah,Jalan  Halimun  Nomor 9  RT.003 / RW.01,Guntur,Setiabudi,Jakarta Selatan,12980,(021) 8311361,(021) 83700880,info@halimun-medical.com,www.halimun-medical.com,,2,,5,2,4,  ,  ,  ,  ,2,  ,2,  ,2,1,  ,  ,  ,  ,  ,20
Columbia Asia Pulomas,Rumah Sakit Umum,Jalan  Kayu Putih Raya  Nomor 1  RT.003 / RW.016,Kayu Putih,Pulogadung,Jakarta Timur,13210,(021) 47883199,(021) 29559477,customercare.pulomas@colombiaasia.com,www.rsadmira.com,,2,8,,32,56,8,3,6,2,2,3,8,6,2,4,3,4,  ,  ,  ,149
Omni Pulomas,Rumah Sakit Umum,Jl. Pulomas Barat VI No.20,Kayu Putih,Pulogadung,Jakarta Timur,13210,(021) 4723332-4722719,(021) 4718081,normariati70@yahoo.com,www.omni-hospitals.com,2,7,40,18,28,30,2,4,  ,  ,2,  ,9,2,  ,  ,  ,12,  ,  ,  ,156
Kartika Pulomas ,Rumah Sakit Umum,Jalan  Pulomas Timur K. Nomor 2,Kayu Putih,Pulogadung,Jakarta Timur,13210,(021) 4723402 - 4703333,(021) 4723402,rskartika1@gmail.com,www.rskartikapulomas.com,1,3,,15,18,27,  ,2,  ,  ,  ,  ,4,2,2,3,2,12,3,  ,  ,94
Dharma Nugraha,Rumah Sakit Umum,Jalan  Balai Pustaka Baru  Nomor 19,Rawamangun,Pulogadung,Jakarta Timur,13220,(021) 4707433-4707437,(021) 4707428,dharmanugraha@yahoo.com,,3,12,2,18,31,18,  ,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6,  ,  ,95
Mediros,Rumah Sakit Umum,Jl. Perintis Kemerdekaan Kav. 149,Pulogadung,Pulogadung,Jakarta Timur,13260,(021) 4721336 - 37,(021) 4891937 / 4891937,lumentagrace@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,0
Premier Jatinegara,Rumah Sakit Umum,Jl. Raya Jatinegara Timur No. 85 - 87,Rawa Bunga,Jatinegara,Jakarta Timur,13310,(021) 2800666 / 2800777 / 2800888,(021) 2800755,rspremier.jatinegara@ramsayhealth.co.id,www.ramsayhealth.co.id,2,44,,32,63,61,10,6,  ,4,  ,5,8,2,  ,,,  ,,  ,,237
Hermina Jatinegara,Rumah Sakit Umum,Jalan  Jatinegara Barat  Nomor 126 ,Kampung Melayu,Jatinegara,Jakarta Timur,13310,(021) 8191223 / 8504371,(021) 8560601 / 8190111 / 8196157,jatinegara@herminahospitalgroup.com,www.rsiahermina.co.id,21,13,,34,30,37,18,4,5,5,  ,  ,10,1,  ,2,4,  ,  ,  ,4,188
Yadika Pondok Bambu,Rumah Sakit Umum,Jl. Pahlawan Revolusi No. 47,Pondok Bambu,Duren Sawit,Jakarta Timur,13430,(021) 8615754-8610756,(021) 8631708,rsyadika@yahoo.co.id,,4,9,,14,19,19,10,3,  ,  ,  ,  ,5,2,  ,2,3,  ,  ,  ,  ,90
dr. Euis,Rumah Sakit Umum,Jl. H. Naman No. 3,Pondok Kelapa,Duren Sawit,Jakarta Timur,13450,,,,,1,4,,9,9,18,  ,6,  ,3,  ,  ,3,6,  ,2,6,6,11,  ,5,89
Sayyidah,Rumah Sakit Umum,Jalan  Taman Malaka Selatan  Nomor 6,Pondok Kelapa,Duren Sawit,Jakarta Timur,13450,(021) 86902950 / 8655179,(021) 8649886,sayyidah_rsia@yahoo.com,www.rsiasayyidah.moonfruit.com,,2,,3,6,8,7,  ,  ,  ,1,  ,4,1,  ,  ,2,  ,  ,  ,  ,34
Islam Jakarta Pondok Kopi,Rumah Sakit Umum,Jl. Raya Pondok Kopi,Pondok Kopi,Duren Sawit,Jakarta Timur,13460,(021) 8610471  / 8630654,(021) 8611101,aliyus_k@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,0
Restu Kasih,Rumah Sakit Umum,Jalan Raya Bogor  Km. 19  Nomor 3 A,Kramat Jati,Kramat Jati,Jakarta Timur,13510,(021) 8001177,(021) 80882753,rsia_restu@yahoo.com,kasih-group.com,,7,,10,17,30,20,2,  ,  ,  ,  ,4,  ,  ,3,5,  ,7,  ,  ,105
Al-Fauzan,Rumah Sakit Umum,Jalan  Pedati Nomor 3  RT.005 / RW.07,Kp. Tengah,Kramat Jati,Jakarta Timur,13540,(021) 8402821,(021) 87710318,jakartaislamichospital@yahoo.com,www.jih.co.id,,1,,2,6,6,  ,  ,  ,  ,1,  ,3,1,1,1,3,  ,1,  ,3,29
Haji Jakarta,Rumah Sakit Umum,Jl. Raya Pondok Gede No. 4,Pinang Ranti,Makasar,Jakarta Timur,13560,(021) 8000693-695,(021) 80876209 / 8000702,rshaji@pdpersi.co.id ,,,,,,,,,,,,,,,,,,,,,,,0
Harum Sisma Medika,Rumah Sakit Umum,Jl. Inspeksi Tarum Barat - Kalimalang,Cipinang Melayu,Makasar,Jakarta Timur,13620,(021) 8617212-13,(021) 8601030,erwintyrana@sismamedika.com,,,,,,,,,,,,,,,,,,,,,,,0
Universitas Kristen Indonesia,Rumah Sakit Umum,Jl. Mayjen Sutoyo No. 2,Cawang,Kramat Jati,Jakarta Timur,13630,(021) 8092317 / 8092831 / 8010523,(021) 8092445,rsuuki@yahoo.co.id,,1,8,,32,43,56,  ,8,2,  ,  ,  ,15,  ,  ,2,  ,14,  ,  ,  ,181
Harapan Bunda,Rumah Sakit Umum,Jl. Raya Bogor KM. 22 No. 44,Rambutan,Ciracas,Jakarta Timur,13830,(021) 8400257,(021) 87781247,sekretariat@rsharapanbu.com,,7,13,18,32,30,24,7,5,2,2,6,5,19,7,  ,2,3,26,22,  ,  ,230
Harapan Jayakarta ,Rumah Sakit Umum,Jalan  Bekasi Timur Raya  Nomor 6  KM.18,Pulogadung,Cakung,Jakarta Timur,13930,(021) 4608886 / 4603916 / 46821726,(021) 4608863,harapan.jayakarta@gmail.com,,,1,,6,13,39,2,1,  ,  ,1,  ,8,3,  ,2,1,10,  ,  ,  ,87
Rawamangun,Rumah Sakit Khusus Bedah,Jl. Balai Pustaka Raya No. 29-31,Rawamangun,Pulogadung,Jakarta Timur,13014,(021) 4893531,(021) 4710918,hrd.rsrawamangun@gmail.com,,,2,,7,3,21,2,  ,  ,  ,2,  ,2,2,  ,2,2,10,3,  ,  ,58
Jantung Jakarta,Rumah Sakit Khusus Jantung,Jl. Matraman Raya No.23,Palmeriam,Matraman,Jakarta Timur,13140,(021) 29360698,(021) 29360697,rsjantungjakarta@gmail.com,www.rsjantungjakarta.com,3,15,,14,7,6,  ,4,  ,  ,  ,9,9,  ,  ,  ,  ,  ,  ,  ,  ,67
SMEC,Rumah Sakit Khusus Mata,Jalan  Pemuda  Nomor 36  RT.005 / RW.03,Rawamangun,Pulogadung,Jakarta Timur,13220,(021) 021 - 4714848,(021) 4755703,jakarta@rsmatasmec.com,www.rsmatasmec.com,,,,1,2,3,  ,  ,  ,  ,  ,  ,1,  ,  ,1,  ,  ,  ,  ,  ,8
Alvernia Agusta,Rumah Sakit Khusus Ibu dan Anak,Jalan  Pemuda Nomor 80  RT.001 / RW.08,Jati,Pulogadung,Jakarta Timur,13220,(021) 4705266 - 4720893,(021) 4705266,alvernia.agusta.yahoo.co.id,,,,,5,4,8,  ,  ,  ,  ,1,  ,2,  ,2,1,3,  ,2,  ,,28
Bunda Aliyah,Rumah Sakit Khusus Ibu dan Anak,Jalan  Pahlawan Revolusi  Nomor 100,Pondok Bambu,Duren Sawit,Jakarta Timur,13430,(021) 86602525,(021) 86600712 / 86600940,yanuarjak@yahoo.co.id,,,,,,,,,,,,,,,,,,,,,,,0
SamMarie Basra,Rumah Sakit Khusus Ibu dan Anak,Jalan  Basuki Rachmat  Nomor 31,Pondok Bambu,Duren Sawit,Jakarta Timur,13430,(021) 86613145 / 86613146,(021) 86613147,contact.sambasra@gmail.com,www.sammariebasra-hospital.com,1,2,,2,4,6,8,  ,2,2,2,  ,3,  ,  ,,,  ,,  ,2,34
Islam Klender Jakarta,Rumah Sakit Khusus Jiwa,Jl. Bunga Rampai X - Perumnas Klender,Malaka Jaya,Duren Sawit,Jakarta Timur,13460,(021) 86602402-8622491,(021) 86610234,rsjiwaislam@yahoo.co.id,www.rsjiwaislam.com,,2,,8,8,32,  ,  ,  ,  ,  ,  ,2,3,  ,,,  ,,  ,,55
Asta Nugraha,Rumah Sakit Khusus Bersalin,JL. Duren Sawit Raya Blok K.3 No.1,Klender,Duren Sawit,Jakarta Timur,13470,(021) 8615937,,,,,,,2,2,2,  ,  ,  ,  ,4,  ,4,1,  ,,,  ,,  ,,15
El Shama  (Tidak Operasional),Rumah Sakit Khusus Bersalin,Jl. Raya Bogor  Km.20 No.1,Kp. Tengah,Kramat Jati,Jakarta Timur,13510,(021) 33777772 / 99777772 / 99777773,,rsb_elshama@yahoo.com,,,,,,,27,6,  ,  ,  ,2,  ,3,  ,  ,,,  ,,  ,4,42
Bina Waluya,Rumah Sakit Khusus Jantung,Jl. TB Simatupang No. 71,Susukan,Ciracas,Jakarta Timur,13750,(021) 87781605 / 87781606,(021) 8403869 / 8404652,jimmyagung_27@ymail.com,,,,,,,,,,,,,,,,,,,,,,,0
Resti Mulya,Rumah Sakit Khusus Ibu dan Anak,Jl. Pahlawan Komarudin Raya No. 5,Penggilingan,Cakung,Jakarta Timur,13940,(021) 4802192,(021) 48701488,rsia_resti_mulya@ymail.com,,2,5,,6,5,9,8,  ,  ,  ,  ,  ,3,1,  ,1,4,  ,3,  ,  ,47
Dr. Cipto Mangunkusumo,Rumah Sakit Umum Pusat Nasional,Jl. Diponegoro No. 71,Kenari,Senen,Jakarta Pusat,10430,(021) 3918301,(021) 3148991,perencanaan.rscm@gmail.com,,,,,,,,,,,,,,,,,,,,,,,0
Fatmawati ,Rumah Sakit Umum Pusat,Jl. RS. Fatmawati,Cilandak Barat,Cilandak,Jakarta Selatan,12430,(021) 7660552 / 7501524,(021) 7690123 - 7504022,rsupf@fatmawatihospita.com,www.fatmawatihospital.com,9,37,7,78,127,298,44,23,10,5,79,23,57,38,10,34,  ,20,  ,  ,  ,899
Persahabatan ,Rumah Sakit Umum Pusat,Jl. Persahabatan Raya No.1,Pisangan Timur,Pulogadung,Jakarta Timur,13230,(021) 4891708-4890696,(021) 4711222 / 478608873,info@rsuppersahabatan.co.id,www.rsuppersahabatan.co.id,4,46,,84,56,230,46,12,4,4,2,6,25,6,  ,12,2,30,42,  ,12,623
Prof.Sulianti Saroso,Rumah Sakit Khusus Penyakit Infeksi,Jl. Sunter Permai Raya,Papanggo,Tanjung Priok,Jakarta Utara,14340,(021) 6506559-67,(021) 6401411,info@rspi-suliantisaroso.co.id,www.rspi-suliantisaroso.com,,2,,24,16,108,5,5,  ,  ,10,  ,10,13,  ,2,1,  ,1,  ,  ,197
Dharmais,Rumah Sakit Khusus Kanker,Jl. Letjen S. Parman Kav. 84-86,Kota Bambu Selatan,Pal Merah,Jakarta Barat,11420,(021) 5681570,(021) 5681579 / 5681579,elfira_zaenal@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,0
Harapan Kita,Rumah Sakit Anak dan Bunda,Jl. Letjen S. Parman Kav. 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Harapan Kita ,Rumah Sakit Khusus Jantung dan Pembuluh Darah,Jl. Letjen S. Parman Kav. 87,Kota Bambu Utara,Pal Merah,Jakarta Barat,11420,(021) 5684085 - 5684993,(021) 5684130 / 5684230,info@pjnhk.go.id,www.pjnhk.go.id,8,16,,65,34,42,  ,14,18,  ,  ,18,14,1,10,  ,  ,4,  ,  ,  ,244
Dr.Soeharto Heerdjan,Rumah Sakit Khusus Jiwa,Jl. Prof. Dr. Latumeten No. 1,Jelambar,Grogol Petamburan,Jakarta Barat,11460,(021) 5682841- 42 - 43,(021) 5682842 - 5633316,keliek_marwanto@yahoo.co.id,www.rsjsh.com,,13,,26,31,171,  ,  ,59,  ,  ,  ,  ,20,  ,  ,  ,  ,  ,  ,  ,320
Pusat Otak Nasional,Rumah Sakit Khusus Otak,Jl. M.T. Haryono  Kavling 11,Cawang,Kramat Jati,Jakarta Timur,13630,,,rspotakn@gmail.com,,5,8,17,40,12,34,  ,10,  ,  ,8,  ,11,4,  ,2,  ,  ,  ,  ,  ,151
Ketergantungan Obat,Rumah Sakit Khusus Ketergantungan Obat,Jl. LapanganTembak No. 75,Cibubur,Ciracas,Jakarta Timur,13720,(021) 87711968 - 87711969,(021) 87711970,rskojakarta@gmail.com,www.rsko-jakarta.com,,12,,6,2,80,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,100
DR. Mintohardjo,Rumah Sakit Umum TNI - Angkatan Laut,Jl. Bendungan Hilir No. 17,Bendungan Hilir,Tanah Abang,Jakarta Pusat,10210,(021) 5703081 - 85,(021) 5711997,rsalmintohardjo@ymail.com,www.rsaldrmintohardjo.com,6,9,,41,74,62,  ,6,  ,1,  ,5,10,19,  ,6,4,24,  ,  ,  ,267
Gatot Soebroto,Rumah Sakit Umum Pusat Angkatan Darat,Jl. Dr. Abdul Rachman Saleh 24,Senen,Senen,Jakarta Pusat,10410,(021) 3441008,(021) 3440693,rspadgatsu@pdpersi.co.id,,18,96,,156,114,115,16,32,4,4,128,  ,21,4,  ,16,6,  ,  ,  ,  ,730
Bhayangkara Sespimma Polri,Rumah Sakit Umum,Jalan  Ciputat Raya  Nomor 40,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,12310,(021) 7650384  / 7666087  / 7692919,,rs.sespimma_polri@yahoo.co.id,,,,,,,,,,,,,,,,,,,,,,,0
Dr. Suyoto  Pusrehab Kemhan,Rumah Sakit Umum,Jl. R.C. Veteran No. 178,Bintaro,Pesanggrahan,Jakarta Selatan,12330,(021) 7342581,(021) 77884000 / 73425817,humasrsds@gmail.com ,,,,,,,,,,,,,,,,,,,,,,,0
Rumkital Marinir Cilandak,Rumah Sakit Umum,Jl. Raya Cilandak  KKO,Cilandak Timur,Pasar Minggu,Jakarta Selatan,12560,(021) 7805296 / 7805415,(021) 7812764,layanan@rsmarinir.com,,2,13,4,26,58,55,  ,  ,  ,  ,  ,  ,  ,30,  ,  ,  ,  ,  ,  ,  ,188
Dik Pusdikkes Kodiklat TNI AD,Rumah Sakit Umum,Jalan  Raya Bogor KM.19  RT.001 / RW.08,Kramat Jati,Kramat Jati,Jakarta Timur,13510,(021) 8092358 / 8003491,(021) 8092706 / 80883704,rs.dik.pusdikkes@gmail.com,www.pusdikkes.com,,4,,7,10,25,  ,  ,  ,  ,  ,  ,7,2,  ,2,10,6,17,7,1,98
Bhayangkara Tk.I  R. Said Sukanto,Rumah Sakit Umum,Jl. RS Polri,Kramat Jati,Kramat Jati,Jakarta Timur,13510,(021) 8093288,(021) 8094005,rs_polri@pdpersi.co.id,,,7,,9,36,113,200,12,  ,  ,9,  ,7,  ,  ,19,  ,5,12,  ,,429
Moh Ridwan Meuraksa,Rumah Sakit Umum Tk. II,Jl. Taman Mini I  RT.004 / RW.02,Pinang Ranti,Makasar,Jakarta Timur,13560,(021) 3150535  / 323094  / 22819465,(021) 3916888,tanjung_widia@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,0
Pusat Angkatan Udara Dr. Esnawan Antariksa,Rumah Sakit Umum,Jl. Merpati No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Tingkat IV Cijantung Kesdam Jaya,Rumah Sakit Umum,Jl. Mahoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ladokgi TNI-AL R.E. Martadinata,Rumah Sakit Khusus Gigi & Mulut,Jl. Farmasi No. 1,Bendungan Hilir,Tanah Abang,Jakarta Pusat,10210,(021) 5733026,(021) 5732701,pro.jakarta@inhealth.co.id,,,,,,,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,4,  ,  ,  ,  ,  ,5
TNI - Angkatan Udara,Rumah Sakit Khusus Gigi & Mulut,Jl. Puntodewo  No.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pengayoman Cipinang,Rumah Sakit Umum,Jalan  Raya Bekasi Timur  Nomor 170 B,Cipinang Besar Utara,Jatinegara,Jakarta Timur,13410,(021) 085210432196 / 85914558,(021) 85909644,rspengayoman.dki@gmail.com,,,,,8,,180,  ,  ,  ,  ,  ,  ,4,  ,  ,2,1,  ,1,  ,  ,196
Olahraga Nasional,Rumah Sakit Umum,Jalan  Jambore  Nomor 1,Cibubur,Ciracas,Jakarta Timur,13720,(021) 87753977,,rsolahragacibubur@gmail.com,,1,2,,9,12,20,1,  ,  ,  ,4,  ,6,1,  ,2,3,  ,1,  ,  ,62
Pertamina Jaya,Rumah Sakit Umum,Jl. Achmad Yani No. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pekerja,Rumah Sakit Umum,Jalan  Raya Cakung Cilincing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pelabuhan Jakarta,Rumah Sakit Umum,Jl. Kramat Jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pelni,Rumah Sakit Umum,Jl. Aipda K.S. Tubun No. 92-94,Slipi,Pal Merah,Jakarta Barat,11410,(021) 5480608 / 5306901,(021) 5483145,rspelni@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,0
Pusat Pertamina ,Rumah Sakit Umum,Jl. Kyai Maja No. 43,Gunung,Kebayoran Baru,Jakarta Selatan,12120,(021) 7219202-7200290,(021) 7209811 / 7203540,humasrspp@pertamedika.co.id,www.rspp.co.id,40,92,60,60,24,45,10,8,3,1,8,22,15,3,  ,6,3,23,  ,  ,  ,423
Aneka Tambang Medika (Antam Medika),Rumah Sakit Umum,Jl. Pemuda Raya No. 1A RT.002 / RW.07,Jatinegara Kaum,Pulogadung,Jakarta Timur,13210,(021) 29378939 / 29378943,(021) 29378960,rumahsakit@antammedika.co.id,www.antammedika.co.id,4,8,,12,45,24,  ,7,  ,4,  ,  ,10,6,  ,,,  ,,  ,,120
Tarakan,Rumah Sakit Umum Daerah,Jl. Kyai Caringin No. 7,Cideng,Gambir,Jakarta Pusat,10150,(021) 3503150 / 3503003 / 3508993,(021) 3503412 /  3863309,rsd_tarakan@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,0
Koja,Rumah Sakit Umum Daerah,Jl. Deli No. 4  Tanjung Priok,Koja,Koja,Jakarta Utara,14220,(021) 43938478,(021) 4352401 - 4372273,RSUDKOJA@ymail.com ,,,,,,,,,,,,,,,,,,,,,,,0
Cengkareng,Rumah Sakit Umum Daerah,Jl. Kamal Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pasar Minggu,Rumah Sakit Umum Daerah,Jalan  T.B Simatupang  Nomor 1  RT.001 / RW.005,Ragunan,Pasar Minggu,Jakarta Selatan,12550,(021) 021 7808034,,rsud.pasarminggu@yahoo.com,www.rsudpasarminggu@yahoo.com,13,6,,44,60,286,11,37,7,12,8,7,33,8,  ,6,13,15,56,  ,  ,622
Budhi Asih ,Rumah Sakit Umum Daerah,Jl. Dewi Sartika  Cawang III  No. 200,Cawang,Kramat Jati,Jakarta Timur,13630,(021) 8090282 / 8092482,(021) 8009157-8007348,rsudbudhiasih200@gmail.com ,,,,,,,,,,,,,,,,,,,,,,,0
Pasar Rebo,Rumah Sakit Umum Daerah,Jalan  Letjen T.B. Simatupang  Nomor 30,Gedong,Pasar Rebo,Jakarta Timur,13760,(021) 8401127/ 8400109,(021) 8411159,rsudpasarrebo@yahoo.com,www.rsudpasarrebo.com,1,2,,44,43,181,9,6,7,22,7,6,24,9,  ,7,7,18,35,6,  ,434
Adhyaksa,Rumah Sakit Umum Daerah,Jalan  Hankam Raya  Nomor 60,Ceger,Cipayung,Jakarta Timur,13820,,(021) 29462370,adhyaksarsu@gmail.com,www.rsuadhyaksa.com,,1,,11,17,24,8,1,  ,  ,3,  ,8,7,  ,2,6,6,16,16,  ,126
Duren Sawit,Rumah Sakit Khusus Jiwa,Jl. Duren Sawit Baru No. 2,Duren Sawit,Duren Sawit,Jakarta Timur,13440,(021) 8628686 / 8617601,(021) 8628659,rskddurensawit@gmail.com,www.rsdurensawit.go.id,,,,8,10,132,  ,  ,  ,  ,6,  ,8,  ,  ,  ,  ,  ,  ,30,  ,194
Kepulauan Seribu,Rumah Sakit Umum Daerah,Pulau Pramuka,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,14510,,(021) 33312388 / 37175900,rsukepulauanseribu@yahoo.co.id,,,,,,,10,  ,  ,  ,  ,  ,  ,1,  ,1,,,  ,,  ,2,14
Tanah Abang,Rumah Sakit Umum Daerah,Jalan K.H. Mas Mansyur  Nomor 30,Kebon Kacang,Tanah Abang,Jakarta Pusat,10210,(021) 3150427  / 31902143,(021) 31902143,rsutnabang@gmail.com,rsudtanahabang.co.id,,,,,,26,  ,  ,  ,  ,1,  ,3,2,  ,  ,2,  ,7,  ,  ,41
Cempaka Putih,Rumah Sakit Umum Daerah,Jalan  Rawasari Selatan  Nomor 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,(021) 4219548 / 42801341,(021) 4224243,rsucempakaputih@gmail.com,,,,,,,29,3,  ,  ,  ,1,  ,5,1,  ,1,3,  ,10,  ,  ,53
Johar Baru,Rumah Sakit Umum Daerah,Jalan  Tanah Tinggi XII,Tanah Tinggi,Johar Baru,Jakarta Pusat,10540,(021) 4246359,(021) 4224041,rsujoharbaru@gmail.com,,,,,,,30,3,  ,  ,  ,2,  ,3,3,  ,1,3,  ,  ,  ,  ,45
